Date,GOOGL_Close,AMZN_Close,Treasury_10Y,VIX,SP500,NASDAQ,GOOGL_Return_1d,AMZN_Return_1d,GOOGL_Volatility_20,AMZN_Volatility_20,Inflacion_T5YIE
2021-01-04,85.89584350585938,159.3314971923828,0.9169999957084656,26.96999931335449,3700.64990234375,12698.4501953125,0.0080641894952631,0.0100043583817541,3.4106462999902383,3.841591963181732,1.98
2021-01-05,86.5885238647461,160.92550659179688,0.9549999833106996,25.34000015258789,3726.860107421875,12818.9599609375,0.0080641894952631,0.0100043583817541,3.4106462999902383,3.841591963181732,2.01
2021-01-06,85.73410034179688,156.91900634765625,1.0420000553131104,25.06999969482422,3748.139892578125,12740.7900390625,-0.0098676300832181,-0.0248966141477093,3.4106462999902383,3.841591963181732,2.04
2021-01-07,88.29486846923828,158.10800170898438,1.0709999799728394,22.3700008392334,3803.7900390625,13067.48046875,0.029868723381156,0.0075771277744003,3.4106462999902383,3.841591963181732,2.09
2021-01-08,89.46378326416016,159.13499450683594,1.1050000190734863,21.559999465942383,3824.679931640625,13201.98046875,0.0132387625145975,0.0064955143746732,3.4106462999902383,3.841591963181732,2.07
2021-01-11,87.39665985107422,155.7104949951172,1.131999969482422,24.07999992370605,3799.610107421875,13036.4296875,-0.0231057008508385,-0.0215194622800055,3.4106462999902383,3.841591963181732,2.04
2021-01-12,86.45814514160156,156.04150390625,1.1380000114440918,23.32999992370605,3801.18994140625,13072.4296875,-0.0107385649642892,0.002125797051401,3.4106462999902383,3.841591963181732,2.06
2021-01-13,86.94681549072266,158.29449462890625,1.0880000591278076,22.209999084472656,3809.840087890625,13128.9501953125,0.0056521030878091,0.0144384068741727,3.4106462999902383,3.841591963181732,2.04
2021-01-14,86.13420104980469,156.37350463867188,1.128999948501587,23.25,3795.5400390625,13112.6396484375,-0.0093461093006296,-0.0121355451731773,3.4106462999902383,3.841591963181732,2.09
2021-01-15,85.96998596191406,155.21249389648438,1.097000002861023,24.34000015258789,3768.25,12998.5,-0.0019065027119212,-0.0074246001256428,3.4106462999902383,3.841591963181732,2.09
2021-01-19,88.79895782470703,156.03799438476562,1.0920000076293943,23.239999771118164,3798.909912109375,13197.1796875,0.0329065060455662,0.0053185182942283,3.4106462999902383,3.841591963181732,2.12
2021-01-20,93.55621337890624,163.16900634765625,1.090000033378601,21.57999992370605,3851.85009765625,13457.25,0.0535733264301394,0.0457004846223967,3.4106462999902383,3.841591963181732,2.15
2021-01-21,93.75923919677734,165.34950256347656,1.1089999675750732,21.31999969482422,3853.070068359375,13530.91015625,0.0021700944334805,0.0133634215506248,3.4106462999902383,3.841591963181732,2.18
2021-01-22,94.177734375,164.6114959716797,1.090999960899353,21.90999984741211,3841.469970703125,13543.0595703125,0.0044635086825346,-0.0044633130451272,3.4106462999902383,3.841591963181732,2.16
2021-01-25,94.26332092285156,164.6999969482422,1.0399999618530271,23.190000534057617,3855.360107421875,13635.990234375,0.0009087768825566,0.0005376354551673,3.4106462999902383,3.841591963181732,2.15
2021-01-26,94.9435806274414,166.30650329589844,1.0399999618530271,23.020000457763672,3849.6201171875,13626.0595703125,0.0072165896334863,0.0097541370821099,3.4106462999902383,3.841591963181732,2.15
2021-01-27,90.5142593383789,161.62899780273438,1.0140000581741333,37.209999084472656,3750.77001953125,13270.599609375,-0.046652140774458,-0.0281258122831292,3.4106462999902383,3.841591963181732,2.15
2021-01-28,92.21910858154295,161.88099670410156,1.0570000410079956,30.209999084472656,3787.3798828125,13337.16015625,0.0188351454856483,0.0015591193708615,3.4106462999902383,3.841591963181732,2.18
2021-01-29,90.93324279785156,160.30999755859375,1.093000054359436,33.09000015258789,3714.239990234375,13070.6904296875,-0.0139435937244438,-0.0097046545146951,3.4106462999902383,3.841591963181732,2.21
2021-02-01,94.203125,167.1439971923828,1.0770000219345093,30.239999771118164,3773.860107421875,13403.3896484375,0.0359591509280883,0.0426299029247456,3.4106462999902383,3.841591963181732,2.18
2021-02-02,95.49942016601562,169.0,1.1050000190734863,25.559999465942383,3826.31005859375,13612.7802734375,0.0137606386838613,0.011104214562255,3.504924677477508,4.287842132815718,2.23
2021-02-03,102.45417022705078,165.62649536132812,1.13100004196167,22.90999984741211,3830.169921875,13610.5400390625,0.0728250501306191,-0.0199615659093009,4.32251086669146,4.419436607226221,2.27
